ShipRotationDeg SailAngleDeg SailRopeLengthDeg DragForward LiftForward 
0.3090101 179.9968 0 4.185804E-08 3.323046E-08
0.5974143 176.0007 4 0.002821522 0.002221556
0.8261366 172.0051 8 0.01108047 0.008598984
0.9907014 168.0098 12 0.02447658 0.01860909
1.095024 164.014 16 0.04257369 0.03149977
1.141225 160.0176 20 0.06478445 0.04631031
1.14191 156.02 24 0.09051204 0.06210965
1.103568 152.0215 28 0.1186491 0.07739285
1.030965 148.0218 32 0.1483598 0.09116314
0.9379443 144.021 36 0.1786352 0.1024136
0.8374283 140.0192 40 0.2084784 0.1103742
0.7496451 136.0171 44.00001 0.2375881 0.1151889
0.6726006 132.0147 48.00001 0.2646935 0.1161371
0.6103749 128.0124 52.00001 0.2890911 0.1132956
0.5678606 124.0101 56.00001 0.3092158 0.1062911
0.5553173 120.0086 60.00001 0.3255332 0.09646033
0.5692372 116.008 64.00001 0.3390312 0.08510889
0.6013318 112.008 68.00002 0.3485608 0.07218514
0.6452813 108.0084 72.00002 0.3541438 0.05837356
0.7055405 104.009 76.00002 0.3546471 0.04397773
44.94034 135.0606 0 4.811198E-05 1.69158E-05
44.94156 131.0708 4 0.02976356 0.00921114
44.95108 127.0717 8 0.0617293 0.01630188
44.9588 123.0716 12 0.09473304 0.02042628
44.96326 119.0706 16 0.1280277 0.02111312
44.96551 115.0687 20 0.1608514 0.01821502
44.96698 111.0651 24 0.1922272 0.01144262
44.96783 107.0607 28 0.22148 0.001365881
44.96959 103.056 32 0.2471538 0.01195704
44.97196 99.05191 36 0.2685676 0.02764611
44.97444 95.04859 40 0.2854609 0.04450982
44.97741 91.04544 44.00001 0.296481 0.06192339
44.97996 87.04308 48.00001 0.3021849 0.07821539
44.98225 83.04107 52.00001 0.3012236 0.09258129
44.9837 79.03965 56.00001 0.2942042 0.1037311
44.98403 75.0387 60.00001 0.2814423 0.1108819
44.98326 71.03807 64.00001 0.2634718 0.1135841
44.98178 67.03766 68.00002 0.2418322 0.112007
44.97976 63.03701 72.00002 0.2157178 0.1059599
44.97796 59.03671 76.00002 0.1868467 0.09614096
89.85448 90.15506 0 2.108287E-05 6.443638E-06
89.84537 86.19122 4 0.0391978 0.01399783
89.8554 82.21088 8 0.07591124 0.03113232
89.86662 78.22479 12 0.1086377 0.05031199
89.87717 74.2301 16 0.1367488 0.07054898
89.88641 70.22784 20 0.1595981 0.09054186
89.89646 66.21841 24 0.176435 0.1090303
89.90647 62.20156 28 0.1867331 0.124445
89.91632 58.17951 32 0.1901085 0.1353287
89.92571 54.15453 36 0.1863947 0.140418
89.93354 50.1314 40 0.1759192 0.1388575
89.94135 46.10695 44.00001 0.1586139 0.1301754
89.94766 42.08894 48.00001 0.1354789 0.1145599
89.95397 38.07232 52.00001 0.1070157 0.0925447
89.95977 34.0621 56.00001 0.07440243 0.06529
89.96526 30.0569 60.00001 0.03881449 0.03430563
89.97082 26.05484 64.00001 0.003030021 0.00264353
89.97723 158.041 68.00002 0.4438338 0.2662801
89.982 18.0476 72.00002 0.05812367 0.05012831
89.98415 166.0334 76.00002 0.3687768 0.2560495
134.9022 45.11333 0 5.988821E-05 4.690505E-05
134.9 41.13198 4 0.02558945 0.0208634
134.905 37.14774 8 0.04552954 0.03851413
134.9095 33.16395 12 0.05900728 0.05155395
134.9128 29.17774 16 0.06578872 0.05909082
134.9166 25.18861 20 0.06582083 0.06047588
134.9216 21.19654 24 0.05913107 0.05527614
134.9282 17.20189 28 0.04598877 0.04348854
134.9367 13.20526 32 0.02687431 0.02555082
134.946 9.215704 36 0.002335905 0.002211021
134.9449 5.400173 40 0.02626443 0.02448887
134.9426 2.154037 44.00001 0.0555982 0.05079136
134.9434 93.07627 48.00001 0.5038481 0.02998646
134.9439 7.084532 52.00001 0.117035 0.1013264
134.9455 11.00463 56.00001 0.1491083 0.1249881
134.9484 105.0584 60.00001 0.5441803 0.09027729
134.9503 109.0527 64.00001 0.5406406 0.1271132
134.9522 22.96247 68.00002 0.2331282 0.1729155
134.9563 117.0409 72.00002 0.5043179 0.1829676
134.9599 121.0362 76.00002 0.476102 0.1989527
179.9751 1.053495 0 3.731832E-07 2.979084E-07
179.9805 4.140173 4 0.002842079 0.002170114
179.9847 8.04039 8 0.01099486 0.008246869
179.988 12.01571 12 0.02438473 0.01792753
179.9914 16.02439 16 0.04260058 0.03046027
179.9939 20.01633 20 0.06479369 0.04474997
179.996 23.99443 24 0.08993314 0.05946619
179.9971 27.99506 28 0.1178878 0.0740965
179.9969 32.01033 32 0.147216 0.08697587
179.996 36.01133 36 0.1771286 0.09766896
179.9947 40.00603 40 0.2062152 0.1048
