Time WindDir SailAngle DragForward LiftForward SailRopeLengthDeg
0.22 0 179.9969 5.804926E-08 4.608123E-08 0
0.44 0 172.0141 0.0111659 0.0087194 8
0.66 0 164.0661 0.04312464 0.03235928 16
0.88 0 156.1436 0.09256072 0.06512441 24
1.1 0 148.2237 0.1542968 0.09904147 32
1.32 0 140.2833 0.2219631 0.1259125 40
1.52 0 132.2755 0.2896136 0.1401267 48
1.74 0 124.3112 0.3488252 0.1366448 56
1.96 0 116.252 0.3955604 0.1172304 64.00001
2.18 0 108.2072 0.4261995 0.08580788 72.00001
2.4 14.99998 179.8293 1.297116E-05 7.749009E-06 0
2.6 14.99998 172.1787 0.02890136 0.0161635 8
2.8 14.99998 164.2087 0.07203969 0.0366501 16
3 14.99998 156.2358 0.1253889 0.05601735 24
3.22 14.99998 148.2776 0.1834634 0.06857517 32
3.44 14.99998 140.2748 0.2406697 0.07051552 40
3.64 14.99998 132.2377 0.2919611 0.06085064 48
3.84 14.99998 124.219 0.3322163 0.04063455 56
4.04 14.99998 116.1959 0.3582336 0.01341013 64.00001
4.26 14.99998 108.1923 0.366444 0.01623057 72.00001
4.46 29.99998 179.845 8.10053E-06 3.176181E-06 0
4.68 29.99998 172.193 0.04545847 0.01501433 8
4.88 29.99998 164.2003 0.09837195 0.02570906 16
5.1 29.99998 156.2472 0.1536639 0.02838635 24
5.32 29.99998 148.251 0.2066608 0.02132861 32
5.52 29.99998 140.225 0.2523876 0.005106898 40
5.74 29.99998 132.2458 0.2850595 0.0178212 48
5.94 29.99998 124.1971 0.302674 0.04318199 56
6.16 29.99998 116.2079 0.3019047 0.0655856 64.00001
6.38 29.99998 108.1682 0.2841014 0.08084361 72.00001
6.58 45.00001 179.8879 4.878898E-05 7.944432E-06 0
6.8 45.00001 172.1617 0.05890667 0.004936953 8
7 45.00001 164.1792 0.118393 0.0001118441 16
7.22 45.00001 156.2355 0.1719601 0.01441314 24
7.44 45.00001 148.2499 0.215549 0.03661867 32
7.66 45.00001 140.2597 0.2442444 0.06189277 40
7.88 45.00001 132.2529 0.2551906 0.0846886 48
8.08 45.00001 124.219 0.2475804 0.09936709 56
8.3 45.00001 116.2258 0.2214339 0.1019018 64.00001
8.52 45.00001 108.2102 0.18006 0.09119022 72.00001
8.72 60 179.7842 0.0001294232 1.029409E-05 0
8.94 60 172.334 0.06814505 0.01157789 8
9.16 60 164.4156 0.1288074 0.03366632 16
9.38 60 156.4865 0.1764648 0.06186585 24
9.599999 60 148.5234 0.2069906 0.09023961 32
9.8 60 140.4838 0.2173654 0.1117287 40
10.02 60 132.5283 0.2057987 0.119388 48
10.24 60 124.4874 0.1739227 0.11028 56
10.46 60 116.4543 0.1248532 0.08386752 64.00001
10.68 60 108.4142 0.06404649 0.04440518 72.00001
10.88 74.99999 179.6121 0.0001100942 3.471226E-05 0
11.1 74.99999 172.5828 0.07178412 0.02909492 8
11.3 74.99999 164.6054 0.1301825 0.06553975 16
11.52 74.99999 156.7445 0.1677931 0.09862562 24
11.74 74.99999 148.7154 0.1844125 0.1238786 32
11.96 74.99999 140.6759 0.1756481 0.1300423 40
12.18 74.99999 132.6057 0.1431468 0.1135337 48
12.38 74.99999 124.4892 0.08970294 0.0741337 56
12.6 74.99999 116.4797 0.02220335 0.01862627 64.00001
12.82 74.99999 108.4273 0.04665082 0.0386463 72.00001
13.04 90 179.5944 0.0001379234 7.085672E-05 0
13.26 90 172.5142 0.07179693 0.04347959 8
13.46 90 164.5253 0.1245185 0.08762862 16
13.68 90 156.6019 0.1521996 0.1195876 24
13.88 90 148.5154 0.1537574 0.1321551 32
14.1 90 140.5323 0.1278356 0.1165746 40
14.32 90 132.485 0.07737185 0.07305207 48
14.54 90 124.4481 0.009182993 0.008726178 56
14.76 90 116.4107 0.06485719 0.06037137 64.00001
14.96 90 108.3646 0.1422162 0.1281163 72.00001
15.18 105 179.5974 5.052815E-05 3.335583E-05 0
15.38 105 172.4859 0.06661224 0.04967687 8
15.6 105 164.6294 0.1100777 0.09145372 16
15.82 105 156.6488 0.1271756 0.1155004 24
16.02 105 148.5716 0.1152133 0.1114848 32
16.24 105 140.5895 0.07570625 0.07595219 40
16.44 105 132.4678 0.01238116 0.01260888 48
16.66 105 124.4888 0.06300442 0.06255235 56
16.88 105 115.5623 0.5962287 0.2526368 64.00001
17.08 105 107.5714 0.5616316 0.3113938 72.00001
17.3 120 179.4245 7.7593E-06 5.830971E-06 0
17.5 120 172.718 0.05800687 0.04801957 8
17.72 120 164.8935 0.09135523 0.08241386 16
17.92 120 156.8192 0.09679592 0.09345862 24
18.14 120 148.8598 0.0736979 0.0740393 32
18.34 120 140.7022 0.02324782 0.02377364 40
18.56 120 132.7081 0.04554378 0.04573733 48
18.76 120 124.6365 0.1251723 0.1213362 56
18.98 120 115.3296 0.615212 0.2013468 64.00001
