Time WindDir SailAngle DragForward LiftForward
0.12 0 179.9996 9.263041E-09 5.387378E-09
0.24 0 178.4718 0.0003948666 0.0003137041
0.34 0 176.9277 0.00158944 0.001257639
0.46 0 175.2801 0.003834337 0.003016302
0.56 0 173.733 0.006690429 0.005233827
0.68 0 172.0905 0.01071474 0.008316
0.8 0 170.4964 0.01539553 0.0118481
0.9 0 168.9524 0.02057509 0.01570654
1 0 167.3654 0.02674257 0.02021769
1.1 0 165.7756 0.03366298 0.02517696
1.22 0 164.1446 0.0416375 0.03071679
1.34 0 162.5552 0.04989899 0.0363015
1.44 0 161.0048 0.05834572 0.041888
1.54 0 159.421 0.06771622 0.04787293
1.64 0 157.8331 0.07763464 0.05397728
1.74 0 156.2445 0.08801084 0.06010173
1.86 0 154.6256 0.09917995 0.06626942
1.98 0 153.0329 0.1101597 0.07199182
2.08 0 151.4681 0.1209825 0.07740934
2.18 0 149.8813 0.1324904 0.08279735
2.3 0 148.2648 0.1445289 0.08782776
2.42 0 146.6674 0.1560547 0.09215058
2.52 0 145.0938 0.1672569 0.09609576
2.64 0 143.4803 0.1791533 0.09958113
2.74 0 141.9007 0.1902054 0.1025162
2.86 0 140.2861 0.2017211 0.1047953
2.96 0 138.7034 0.2123479 0.1065883
3.08 0 137.0879 0.2232283 0.1075775
3.2 0 135.4834 0.2331835 0.1077647
3.3 0 133.9005 0.2427346 0.1077763
3.42 0 132.285 0.2522362 0.1068412
3.52 0 130.6978 0.2609154 0.1057339
3.64 0 129.0823 0.2693007 0.1036262
3.74 0 127.4935 0.2769377 0.1014945
3.86 0 125.8786 0.2840824 0.09836147
3.98 0 124.2708 0.2901441 0.09475856
4.1 0 122.6662 0.2955168 0.09078965
4.22 0 121.0624 0.3002266 0.0865074
4.34 0 119.4586 0.3042757 0.08196401
4.44 0 117.8729 0.3082927 0.07777868
4.56 0 116.2604 0.3114061 0.0727959
4.68 0 114.6512 0.3135433 0.06772351
4.8 0 113.0449 0.3150263 0.06259082
4.9 0 111.4582 0.3166631 0.0579273
5.02 0 109.8431 0.3172246 0.05267406
5.14 0 108.2308 0.3169514 0.04752946
5.26 0 106.6215 0.3161098 0.04248009
5.38 0 105.0124 0.314743 0.03754432
5.5 0 103.403 0.3128783 0.03274556
5.62 0 101.7932 0.3105421 0.02810475
5.74 0 100.1831 0.3077611 0.02363975
5.86 1.000137 176.3436 0.004555217 0.001888065
5.96 1.000137 178.2947 0.0006269403 0.0002613965
6.08 1.000137 176.9345 0.001405043 0.0005842823
6.2 1.000137 175.3392 0.002826568 0.001171889
6.32 1.000137 173.7342 0.004722195 0.001949265
6.42 1.000137 172.1735 0.006946395 0.002853619
6.54 1.000137 170.5292 0.009864582 0.004024017
6.66 1.000137 168.9243 0.01310133 0.00530386
6.78 1.000137 167.3225 0.01674929 0.006722052
6.9 1.000137 165.7217 0.02079804 0.008265521
7 1.000137 164.1662 0.02500333 0.009837582
7.12 1.000137 162.5251 0.03002353 0.01166526
7.24 1.000137 160.9242 0.03516227 0.01347989
7.36 1.000137 159.3262 0.04060154 0.01533844
